ID.x,Last_Season,target,predicted_label,Diff,min_label,mean_label,max_label,Seasons,Attempts,ForcedMissedTackleRate,ExplosiveRate,TDP,YardsAfterContact,YPRR,WAR,RushWAR,RecWAR,best_Attempts,best_ForcedMissedTackleRate,best_ExplosiveRate,best_TDP,best_YardsAfterContact,best_YPRR,best_WAR,best_RushWAR,best_RecWAR,worst_Attempts,worst_ForcedMissedTackleRate,worst_ExplosiveRate,worst_TDP,worst_YardsAfterContact,worst_YPRR,worst_WAR,worst_RushWAR,worst_RecWAR,Strength_Power 5,ht_in,wt,arm_in,wing_in,c_reps,c_10y,c_40y,c_vj_in,c_bj_in,c_3c,c_ss20,est_40y
James Conner - 11860,2016,0.5701822468312135,0.6163029,0.04612066063567488,0.57558405,0.60531294,0.6243338,2,0.9895596913300045,0.7217430776214253,0.7671357240127099,0.94098955969133,0.4961416250567408,0.8890404729422465,0.9678553490708187,0.8508014796547472,0.9482120838471023,0.9854743531547889,0.7657739446209714,0.6790739900136178,0.8810712664548344,0.36677258284157965,0.9126081019572144,0.9298423995932893,0.8165569143932268,0.9049858889934148,0.9836586472991375,0.6286881525192919,0.8016341352700862,0.9328188833408988,0.6677258284157966,0.8015475648611743,0.9766141331977631,0.8165569143932268,0.9049858889934148,1,73.5,233.0,31.25,75.38,20.0,1.58,4.65,29.0,113.0,7.18,4.273999999999999,4.529999999999999
Devon Achane - 124305,2022,0.6399274413650518,0.6099485,-0.029978925473022944,0.57912815,0.6034216,0.6099485,3,0.7734906945074898,0.9201089423513391,0.9659555152065366,0.8624602814344077,0.9659555152065366,0.8990450204638472,0.9402310396785535,0.9192355117139334,0.9556103575832305,0.8542896050839764,0.9214707217430776,0.9841125737630504,0.9019518837948253,0.9832047208352247,0.9326354119253527,0.9400101677681749,0.5653809971777987,0.658513640639699,0.36768043576940534,0.9033136631865638,0.9133000453926464,0.7085792101679528,0.9128461189287336,0.6017296313154301,0.9079816980172852,0.5653809971777987,0.658513640639699,1,68.5,188.0,29.0,69.125,15.6,1.51,4.32,33.0,118.4,6.944,4.182,4.28
Duke Johnson - 9510,2014,0.4546990650759275,0.5650989,0.11039981664556908,0.5309394,0.56052744,0.59212697,1,0.9854743531547889,0.6005447117566954,0.9500680889695869,0.5106672719019519,0.828869723104857,0.9095043201455207,0.9864389753892516,0.9747225647348952,0.9784217016029593,0.9364502950522016,0.45029505220154337,0.8651838402178847,0.3563322741715842,0.6595551520653654,0.810195721438325,0.942043721403152,0.9190968955785512,0.9153339604891816,0.9909214707217431,0.7412619155696777,0.9600544711756696,0.7162959600544712,0.8951429868361326,0.9376422394173873,0.9938993390950687,0.9190968955785512,0.9153339604891816,1,69.125,207.0,30.375,74.125,21.0,1.6,4.54,33.5,121.0,7.0840000000000005,4.308,4.486000000000001
Tony Pollard - 27126,2018,0.5232665756764283,0.5588614,0.03559479917861319,0.515458,0.5543599,0.62978715,1,0.5152065365410804,0.9518837948252383,0.938266000907853,0.9155696777122107,0.8365864729913755,0.9236016371077762,0.9628327473631341,0.9790382244143033,0.9241676942046856,0.41034952337721287,0.8801634135270087,0.8406718111665911,0.7716749886518384,0.6672719019518838,0.834319526627219,0.8845958312150483,0.9360301034807149,0.8071495766698025,0.716749886518384,0.9709487063095779,0.952791647753064,0.9418974126191557,0.8983204720835225,0.948111060537096,0.9847483477376716,0.9360301034807149,0.8071495766698025,0,71.625,210.0,30.0,73.75,13.0,1.59,4.52,35.0,121.0,7.036,4.326,4.4719999999999995
Melvin Gordon - 9448,2014,0.36502532002853755,0.5539969,0.18897160055709478,0.52242124,0.5465957,0.5678434,1,0.9990921470721743,0.6132546527462551,0.8533817521561508,0.9496141625056741,0.8506581933726737,0.5279672578444747,0.8669010547463586,0.0376078914919852,0.8101109741060419,0.9968225147526101,0.46482069904675444,0.699046754425783,0.855651384475715,0.6890603722197004,0.37505689576695495,0.71377732587697,0.036688617121354655,0.6265286923800565,0.9990921470721743,0.7517022242396731,0.9033136631865638,0.9650476622787109,0.9110304130730822,0.6995903504779244,0.9379766141331978,0.036688617121354655,0.6265286923800565,1,72.625,215.0,32.375,76.375,19.0,1.62,4.52,35.0,126.0,7.04,4.07,4.508
Zach Charbonnet - 97630,2022,0.5785556047958337,0.5492772,-0.029278418402095885,0.45443973,0.52584594,0.58557355,3,0.9287335451656832,0.8411257376305039,0.8465728551974581,0.88197911938266,0.828869723104857,0.49022282855843563,0.9482672024108488,0.7909987669543773,0.9217016029593095,0.8738084430322288,0.8669995460735361,0.9160236041761235,0.7467090331366318,0.8692691783931004,0.6536185707783341,0.9811896288764617,0.9397930385700847,0.9689557855126999,0.9269178393100318,0.5955515206536541,0.7653200181570585,0.8874262369496142,0.6795279164775306,0.2594446973145198,0.16115912557193696,0.9397930385700847,0.9689557855126999,1,72.375,214.0,32.0,75.625,18.0,1.54,4.53,37.0,122.0,7.055999999999999,4.266,4.46
Chris Carson - 12004,2016,0.6055722752030505,0.54647064,-0.05910163311320671,0.3996097,0.49453306,0.5535781,2,0.6967771221062188,0.8965047662278711,0.9369042215161144,0.8797094870630958,0.6563776668179755,0.5534333788085494,0.1341034655951783,0.25092478421701603,0.27311960542540076,0.6536541080344984,0.9396277802995915,0.9732183386291421,0.9550612800726282,0.8275079437131184,0.48475193445607645,0.6187086934417896,0.4233301975540922,0.5428033866415805,0.7453472537448933,0.7367226509305492,0.7485247389922832,0.5365410803449842,0.30549251021334545,0.6385980883022303,0.02592780884595831,0.4233301975540922,0.5428033866415805,1,71.75,218.0,33.25,79.38,23.0,1.52,4.58,37.0,130.0,7.042,4.224,4.534
Kenneth Dixon - 10768,2015,0.614919187266827,0.54554886,-0.0693703310084347,0.475847,0.5257758,0.5662521,2,0.9745801180208806,0.926463912846119,0.5755787562414889,0.9691330004539265,0.7231048570131638,0.9458844929513415,0.9859367152184831,0.9636251541307028,0.9741060419235512,0.9491602360417613,0.8633681343622334,0.44530186109850206,0.9119382660009079,0.5578756241488879,0.9344560764679107,0.9578037620742247,0.9313264346190028,0.9303857008466604,0.9777576032682705,0.9464366772582842,0.6967771221062188,0.9732183386291421,0.8216068996822514,0.9299044151115157,0.9898322318251144,0.9313264346190028,0.9303857008466604,0,70.125,215.0,31.0,75.0,18.0,1.56,4.58,37.5,121.0,6.97,4.28,4.486
Tyler Allgeier - 83639,2021,0.5514869009582705,0.5410221,-0.010464779051989948,0.4867221,0.54270685,0.60442805,2,0.9682251475261008,0.8724466636404903,0.8769859282796187,0.9536995006808897,0.9736722650930549,0.7030468394724875,0.9914615770969362,0.9266337854500617,0.9870530209617756,0.9714026327734907,0.8088969586926917,0.8874262369496142,0.8765320018157059,0.9541534271448026,0.6103777878925808,0.9781392984239959,0.8626528692380057,0.9651928504233303,0.9269178393100318,0.9010440308669996,0.7880163413527008,0.9632319564230595,0.9682251475261008,0.7373691397360036,0.9913573970513472,0.8626528692380057,0.9651928504233303,1,70.75,224.0,31.5,74.5,19.0,1.59,4.6,33.0,120.0,7.023999999999999,4.286,4.5
Jonathan Taylor - 57488,2019,0.6235812012932374,0.5397984,-0.08378282234884038,0.49154702,0.5465606,0.599192,3,0.9977303676804358,0.6908760780753518,0.9287335451656832,0.7081252837040399,0.9614162505674081,0.8763074124602092,0.9708689100954294,0.5573366214549939,0.9537607891491985,0.9936450295052202,0.6849750340444848,0.8474807081252838,0.6513844757149342,0.9310031774852474,0.9057806099226218,0.9374682257244534,0.7271872060206962,0.9021636876763875,0.9977303676804358,0.7444394008170676,0.9414434861552429,0.7308216068996822,0.9532455742169769,0.7551206190259445,0.9776309100152516,0.7271872060206962,0.9021636876763875,1,70.25,226.0,31.125,75.375,17.0,1.46,4.39,36.0,123.0,7.01,4.24,4.43
