,ID.x,ID.y,similarity
131,Tre Stewart - 160817,Chuba Hubbard - 57373,82.61
132,Tre Stewart - 160817,Evan Hull - 97302,82.38
133,Tre Stewart - 160817,Miles Sanders - 40555,81.61
134,Tre Stewart - 160817,Trey Sermon - 57372,80.51
135,Jarquez Hunter - 146662,Myles Gaskin - 45914,82.44
136,Jarquez Hunter - 146662,Darrell Henderson - 41193,81.46
137,Jarquez Hunter - 146662,JK Dobbins - 57366,74.09
138,Jarquez Hunter - 146662,Kenny McIntosh - 99158,72.39
139,Jarquez Hunter - 146662,Tevin Coleman - 9506,70.22
140,Ahmad Hardy - 190013,ReMahn Davis - 101072,89.76
141,Ahmad Hardy - 190013,JK Dobbins - 57366,89.11
142,Ahmad Hardy - 190013,Darrell Henderson - 41193,85.66
143,Ahmad Hardy - 190013,Tank Bigsby - 123974,85.63
144,Ahmad Hardy - 190013,Myles Gaskin - 45914,81.32
145,Eli Heidenreich - 162554,Evan Hull - 97302,92.15
146,Eli Heidenreich - 162554,Miles Sanders - 40555,82.1
147,Eli Heidenreich - 162554,Tank Bigsby - 123974,80.84
148,Eli Heidenreich - 162554,Darrell Henderson - 41193,79.5
149,Eli Heidenreich - 162554,JK Dobbins - 57366,79.17
150,Tahj Brooks - 123133,ReMahn Davis - 101072,81.13
151,Tahj Brooks - 123133,Trey Benson - 131705,80.23
152,Tahj Brooks - 123133,Chris Rodriguez - 83689,78.05
153,Tahj Brooks - 123133,Jordan Wilkins - 26618,76.97
154,Tahj Brooks - 123133,Tank Bigsby - 123974,74.77
155,Duke Watson - 190596,CJ Prosise - 10724,82.92
156,Duke Watson - 190596,Devontae Booker - 10770,73.1
157,Duke Watson - 190596,Brian Hill - 11911,70.63
158,Duke Watson - 190596,James Robinson - 22425,68.43
159,Duke Watson - 190596,Zack Moss - 40341,64.75
160,Desmond Reid - 159936,Myles Gaskin - 45914,95.91
161,Desmond Reid - 159936,Kenny McIntosh - 99158,78.45
162,Desmond Reid - 159936,Darrell Henderson - 41193,77.39
163,Desmond Reid - 159936,Eno Benjamin - 57136,75.52
164,Desmond Reid - 159936,JK Dobbins - 57366,73.51
165,DJ Giddens - 144595,Kerryon Johnson - 34455,73.06
166,DJ Giddens - 144595,Jaylen Wright - 146934,72.36
167,DJ Giddens - 144595,Daniel Lasco - 10871,64.47
168,DJ Giddens - 144595,Chase Brown - 77787,64.22
169,DJ Giddens - 144595,Miles Sanders - 40555,61.5
170,Jahiem White - 173192,Kenny McIntosh - 99158,85.91
171,Jahiem White - 173192,Zach Evans - 123072,84.35
172,Jahiem White - 173192,JaMycal Hasty - 25582,82.01
173,Jahiem White - 173192,Ronald Jones - 34001,77.29
174,Jahiem White - 173192,Myles Gaskin - 45914,73.56
175,Greg Desrosiers - 158759,Kenny McIntosh - 99158,88.64
176,Greg Desrosiers - 158759,JaMycal Hasty - 25582,86.11
177,Greg Desrosiers - 158759,Zach Evans - 123072,83.75
178,Greg Desrosiers - 158759,Clyde EdwardsHelaire - 57279,78.69
179,Greg Desrosiers - 158759,Ronald Jones - 34001,77.88
180,Noah Short - 163220,Nyheim Hines - 48103,89.67
181,Noah Short - 163220,Tyler Badie - 83714,78.4
182,Noah Short - 163220,Josh Ferguson - 10907,76.49
183,Noah Short - 163220,Curtis Samuel - 11795,74.6
184,Noah Short - 163220,Trey Williams - 9717,73.65
185,Devin Neal - 144558,Miles Sanders - 40555,90.94
186,Devin Neal - 144558,Kerryon Johnson - 34455,83.91
187,Devin Neal - 144558,Marlon Mack - 11898,81.19
188,Devin Neal - 144558,Evan Hull - 97302,80.98
189,Devin Neal - 144558,Josh Adams - 45662,80.58
190,Joquavious Marks - 124179,Jeremy Langford - 9539,90.29
191,Joquavious Marks - 124179,Blake Corum - 129574,82.55
192,Joquavious Marks - 124179,Myles Gaskin - 45914,81.1
193,Joquavious Marks - 124179,DeAndre Washington - 10777,79.12
194,Joquavious Marks - 124179,Ronald Jones - 34001,78.88
195,AJ Turner - 156791,Jeremy Langford - 9539,87.55
196,AJ Turner - 156791,Evan Hull - 97302,76.98
197,AJ Turner - 156791,Tank Bigsby - 123974,76.24
198,AJ Turner - 156791,Blake Corum - 129574,74.3
199,AJ Turner - 156791,Myles Gaskin - 45914,73.0
200,Kaleb Johnson - 156419,Derrius Guice - 45664,78.82
201,Kaleb Johnson - 156419,TJ Yeldon - 9469,77.65
202,Kaleb Johnson - 156419,Brian Robinson - 57120,71.79
203,Kaleb Johnson - 156419,CJ Prosise - 10724,68.42
204,Kaleb Johnson - 156419,Zack Moss - 40341,66.67
205,Makhi Hughes - 158417,Marlon Mack - 11898,86.19
206,Makhi Hughes - 158417,Miles Sanders - 40555,85.5
207,Makhi Hughes - 158417,Elijah McGuire - 11943,85.49
208,Makhi Hughes - 158417,Kendre Miller - 123091,81.99
209,Makhi Hughes - 158417,DeWayne McBride - 121495,74.48
210,Donovan Edwards - 144917,Ronald Jones - 34001,90.17
211,Donovan Edwards - 144917,JaMycal Hasty - 25582,84.4
212,Donovan Edwards - 144917,Zach Evans - 123072,82.04
213,Donovan Edwards - 144917,Evan Hull - 97302,77.85
214,Donovan Edwards - 144917,Clyde EdwardsHelaire - 57279,74.14
215,Gerald Green - 97121,Jeremy Langford - 9539,82.75
216,Gerald Green - 97121,DeWayne McBride - 121495,82.54
217,Gerald Green - 97121,Elijah McGuire - 11943,82.53
218,Gerald Green - 97121,Miles Sanders - 40555,78.11
219,Gerald Green - 97121,Cameron ArtisPayne - 9607,76.68
220,Marquez Cooper - 130489,Jeremy Langford - 9539,84.43
221,Marquez Cooper - 130489,DeWayne McBride - 121495,82.59
222,Marquez Cooper - 130489,Miles Sanders - 40555,78.99
223,Marquez Cooper - 130489,Tank Bigsby - 123974,78.42
224,Marquez Cooper - 130489,Kenyan Drake - 10707,78.39
225,Lawrance Toafili - 122421,DeWayne McBride - 121495,83.54
226,Lawrance Toafili - 122421,Jeremy Langford - 9539,82.12
227,Lawrance Toafili - 122421,Evan Hull - 97302,81.27
228,Lawrance Toafili - 122421,Miles Sanders - 40555,80.88
229,Lawrance Toafili - 122421,Elijah McGuire - 11943,78.93
230,Jamarion Wilcox - 175162,Miles Sanders - 40555,94.7
231,Jamarion Wilcox - 175162,Marlon Mack - 11898,89.08
232,Jamarion Wilcox - 175162,Kenyan Drake - 10707,87.38
233,Jamarion Wilcox - 175162,DeWayne McBride - 121495,85.18
234,Jamarion Wilcox - 175162,Evan Hull - 97302,80.26
235,Lee Beebe - 163009,Ronald Jones - 34001,95.89
236,Lee Beebe - 163009,JaMycal Hasty - 25582,84.5
237,Lee Beebe - 163009,Zach Evans - 123072,80.61
238,Lee Beebe - 163009,Evan Hull - 97302,80.47
239,Lee Beebe - 163009,DeWayne McBride - 121495,78.76
240,Caden Durham - 184449,Ronald Jones - 34001,87.69
241,Caden Durham - 184449,JaMycal Hasty - 25582,82.86
242,Caden Durham - 184449,Zach Evans - 123072,80.46
243,Caden Durham - 184449,Blake Corum - 129574,76.52
244,Caden Durham - 184449,Evan Hull - 97302,76.34
245,Dean Connors - 156624,Jeremy Langford - 9539,87.31
246,Dean Connors - 156624,DeWayne McBride - 121495,80.71
247,Dean Connors - 156624,Evan Hull - 97302,79.24
248,Dean Connors - 156624,Blake Corum - 129574,79.21
249,Dean Connors - 156624,Ronald Jones - 34001,77.32
250,Cade Harris - 157896,DeAndre Washington - 10777,88.72
251,Cade Harris - 157896,Blake Corum - 129574,85.74
252,Cade Harris - 157896,Ronald Jones - 34001,84.7
253,Cade Harris - 157896,Jeremy Langford - 9539,83.56
254,Cade Harris - 157896,Ty Chandler - 62942,83.44
255,Treshaun Ward - 99619,Marlon Mack - 11898,93.45
256,Treshaun Ward - 99619,Miles Sanders - 40555,93.32
257,Treshaun Ward - 99619,Kerryon Johnson - 34455,83.7
258,Treshaun Ward - 99619,Kendre Miller - 123091,81.82
259,Treshaun Ward - 99619,Kenyan Drake - 10707,81.65
260,Roman Hemby - 144891,Ronald Jones - 34001,87.76
261,Roman Hemby - 144891,DeAndre Washington - 10777,79.72
262,Roman Hemby - 144891,Blake Corum - 129574,78.04
263,Roman Hemby - 144891,JaMycal Hasty - 25582,76.49
264,Roman Hemby - 144891,Jermar Jefferson - 83740,75.16
265,Xavier Robinson - 184603,Dameon Pierce - 83659,89.08
266,Xavier Robinson - 184603,Trey Ragas - 42174,85.04
267,Xavier Robinson - 184603,Thomas Rawls - 9993,82.38
268,Xavier Robinson - 184603,Elijah McGuire - 11943,80.23
269,Xavier Robinson - 184603,Chris Rodriguez - 83689,74.02
270,Henry Parrish - 124144,Elijah McGuire - 11943,93.63
271,Henry Parrish - 124144,Kendre Miller - 123091,82.99
272,Henry Parrish - 124144,Marlon Mack - 11898,82.46
273,Henry Parrish - 124144,Miles Sanders - 40555,79.45
274,Henry Parrish - 124144,Cameron ArtisPayne - 9607,76.39
275,Kelley Joiner - 101124,DeWayne McBride - 121495,93.44
276,Kelley Joiner - 101124,Kenyan Drake - 10707,86.94
277,Kelley Joiner - 101124,Will Shipley - 144138,82.83
278,Kelley Joiner - 101124,Paul Perkins - 10783,81.34
279,Kelley Joiner - 101124,Jermar Jefferson - 83740,81.23
280,Nicholas Singleton - 164188,Ronald Jones - 34001,90.02
281,Nicholas Singleton - 164188,DeWayne McBride - 121495,85.67
282,Nicholas Singleton - 164188,Will Shipley - 144138,81.26
283,Nicholas Singleton - 164188,Evan Hull - 97302,80.01
284,Nicholas Singleton - 164188,Kenyan Drake - 10707,79.01
285,Sione I Moa - 183773,Kendre Miller - 123091,85.74
286,Sione I Moa - 183773,Devontae Booker - 10770,84.32
287,Sione I Moa - 183773,Brian Hill - 11911,84.02
288,Sione I Moa - 183773,Cam Akers - 57206,79.7
289,Sione I Moa - 183773,Trey Ragas - 42174,79.01
290,Ismail Mahdi - 161419,Elijah McGuire - 11943,87.22
291,Ismail Mahdi - 161419,Marlon Mack - 11898,85.36
292,Ismail Mahdi - 161419,DeWayne McBride - 121495,85.28
293,Ismail Mahdi - 161419,Kendre Miller - 123091,84.46
294,Ismail Mahdi - 161419,Kenyan Drake - 10707,83.05
295,Wayne Knight - 156712,Elijah McGuire - 11943,89.63
296,Wayne Knight - 156712,Joshua Kelley - 13750,85.53
297,Wayne Knight - 156712,Cameron ArtisPayne - 9607,81.14
298,Wayne Knight - 156712,DeWayne McBride - 121495,81.04
299,Wayne Knight - 156712,Kenyan Drake - 10707,78.09
300,Mario Anderson - 169699,DeWayne McBride - 121495,89.99
301,Mario Anderson - 169699,Elijah McGuire - 11943,85.03
302,Mario Anderson - 169699,Kenyan Drake - 10707,83.02
303,Mario Anderson - 169699,Cameron ArtisPayne - 9607,80.41
304,Mario Anderson - 169699,Joshua Kelley - 13750,78.33
305,Rahsul Faison - 176482,DeWayne McBride - 121495,89.76
306,Rahsul Faison - 176482,Kenyan Drake - 10707,80.93
307,Rahsul Faison - 176482,Cameron ArtisPayne - 9607,78.62
308,Rahsul Faison - 176482,Jeff Wilson - 29413,78.49
309,Rahsul Faison - 176482,Marlon Mack - 11898,78.01
310,Daniel Hishaw - 122562,Joshua Kelley - 13750,85.71
311,Daniel Hishaw - 122562,Elijah McGuire - 11943,84.95
312,Daniel Hishaw - 122562,Dameon Pierce - 83659,80.41
313,Daniel Hishaw - 122562,Trey Ragas - 42174,77.87
314,Daniel Hishaw - 122562,Kendre Miller - 123091,77.74
315,Ty Son Lawton - 78578,Chris Warren - 35977,59.84
316,Ty Son Lawton - 78578,Andy Janovich - 10810,57.81
317,Ty Son Lawton - 78578,Jarvion Franklin - 30845,43.15
318,Ty Son Lawton - 78578,Braelon Allen - 145159,42.22
319,Ty Son Lawton - 78578,Joey Iosefa - 9664,40.93
320,Quinten Joyner - 174151,Dameon Pierce - 83659,81.57
321,Quinten Joyner - 174151,Elijah McGuire - 11943,80.94
322,Quinten Joyner - 174151,Joshua Kelley - 13750,78.98
323,Quinten Joyner - 174151,Cam Akers - 57206,78.35
324,Quinten Joyner - 174151,Trey Ragas - 42174,77.62
325,Freddie Brock - 142276,Ronald Jones - 34001,87.7
326,Freddie Brock - 142276,DeWayne McBride - 121495,84.74
327,Freddie Brock - 142276,DeAndre Washington - 10777,83.41
328,Freddie Brock - 142276,Jeremy Langford - 9539,79.95
329,Freddie Brock - 142276,Ty Chandler - 62942,79.9
330,Torrance Burgess - 163031,DeAndre Washington - 10777,89.67
331,Torrance Burgess - 163031,Blake Corum - 129574,84.33
332,Torrance Burgess - 163031,Mark Walton - 45996,84.01
333,Torrance Burgess - 163031,Ty Chandler - 62942,80.07
334,Torrance Burgess - 163031,Jeremy Langford - 9539,78.68
335,Jaydon Blue - 157303,Tyler Badie - 83714,95.7
336,Jaydon Blue - 157303,Josh Ferguson - 10907,88.16
337,Jaydon Blue - 157303,Trey Williams - 9717,82.45
338,Jaydon Blue - 157303,Bryce Love - 38396,76.59
339,Jaydon Blue - 157303,TJ Logan - 11935,74.86
340,Dominic Richardson - 122985,DeWayne McBride - 121495,87.24
341,Dominic Richardson - 122985,Cameron ArtisPayne - 9607,86.25
342,Dominic Richardson - 122985,Elijah McGuire - 11943,84.61
343,Dominic Richardson - 122985,Kenyan Drake - 10707,80.99
344,Dominic Richardson - 122985,Jeremy Langford - 9539,74.76
345,Abu Sama - 174686,Cam Akers - 57206,85.42
346,Abu Sama - 174686,Dameon Pierce - 83659,83.17
347,Abu Sama - 174686,Kendre Miller - 123091,81.82
348,Abu Sama - 174686,Elijah McGuire - 11943,80.44
349,Abu Sama - 174686,Roschon Johnson - 99467,79.67
350,Makenzie McGill - 173209,Ronald Jones - 34001,86.95
351,Makenzie McGill - 173209,DeWayne McBride - 121495,86.26
352,Makenzie McGill - 173209,Jermar Jefferson - 83740,84.3
353,Makenzie McGill - 173209,Will Shipley - 144138,84.26
354,Makenzie McGill - 173209,Rasheen Ali - 121717,84.12
355,Hinckley Ropati - 122076,Darrynton Evans - 40692,87.52
356,Hinckley Ropati - 122076,Jermar Jefferson - 83740,85.04
357,Hinckley Ropati - 122076,Will Shipley - 144138,82.91
358,Hinckley Ropati - 122076,Ronald Jones - 34001,78.26
359,Hinckley Ropati - 122076,Kyle Hicks - 45714,75.08
360,Jordan McDonald - 158449,Cam Akers - 57206,92.42
361,Jordan McDonald - 158449,Dameon Pierce - 83659,84.93
362,Jordan McDonald - 158449,Keaontay Ingram - 77761,83.91
363,Jordan McDonald - 158449,Trey Ragas - 42174,82.7
364,Jordan McDonald - 158449,Kendre Miller - 123091,81.66
365,Dawson Pendergrass - 174637,Jermar Jefferson - 83740,90.43
366,Dawson Pendergrass - 174637,Will Shipley - 144138,85.23
367,Dawson Pendergrass - 174637,Ronald Jones - 34001,83.74
368,Dawson Pendergrass - 174637,Darrynton Evans - 40692,81.32
369,Dawson Pendergrass - 174637,Rasheen Ali - 121717,79.65
370,Jadarian Price - 156985,Rasheen Ali - 121717,89.46
371,Jadarian Price - 156985,Will Shipley - 144138,86.82
372,Jadarian Price - 156985,Trayveon Williams - 45775,86.8
373,Jadarian Price - 156985,Jermar Jefferson - 83740,83.4
374,Jadarian Price - 156985,Ronald Jones - 34001,82.27
375,Nate Noel - 122249,DeWayne McBride - 121495,86.44
376,Nate Noel - 122249,Rasheen Ali - 121717,80.72
377,Nate Noel - 122249,Kenyan Drake - 10707,78.97
378,Nate Noel - 122249,Trayveon Williams - 45775,78.83
379,Nate Noel - 122249,Joshua Kelley - 13750,78.55
380,Micah Bernard - 100583,Jermar Jefferson - 83740,89.6
381,Micah Bernard - 100583,Jeff Wilson - 29413,89.04
382,Micah Bernard - 100583,Will Shipley - 144138,87.44
383,Micah Bernard - 100583,DeWayne McBride - 121495,87.01
384,Micah Bernard - 100583,Rasheen Ali - 121717,86.8
385,Gemari Sands - 169923,Rasheen Ali - 121717,90.22
386,Gemari Sands - 169923,Jermar Jefferson - 83740,89.37
387,Gemari Sands - 169923,Will Shipley - 144138,87.18
388,Gemari Sands - 169923,DeWayne McBride - 121495,86.23
389,Gemari Sands - 169923,Jeff Wilson - 29413,83.13
390,Jordan Waters - 97754,LaMical Perine - 26408,91.42
391,Jordan Waters - 97754,Dare Ogunbowale - 12329,86.06
392,Jordan Waters - 97754,Cam Akers - 57206,84.74
393,Jordan Waters - 97754,Dameon Pierce - 83659,84.64
394,Jordan Waters - 97754,Cameron ArtisPayne - 9607,83.28
395,Demond Claiborne - 157523,Dare Ogunbowale - 12329,84.18
396,Demond Claiborne - 157523,Jeff Wilson - 29413,83.25
397,Demond Claiborne - 157523,Damien Harris - 35134,81.84
398,Demond Claiborne - 157523,Kendre Miller - 123091,81.28
399,Demond Claiborne - 157523,Cam Akers - 57206,81.03
400,Kentrel Bullock - 124129,DeWayne McBride - 121495,90.72
401,Kentrel Bullock - 124129,Trayveon Williams - 45775,86.78
402,Kentrel Bullock - 124129,Rasheen Ali - 121717,84.24
403,Kentrel Bullock - 124129,Will Shipley - 144138,80.33
404,Kentrel Bullock - 124129,Kenyan Drake - 10707,78.68
405,Camryn Edwards - 158615,Cam Akers - 57206,91.42
406,Camryn Edwards - 158615,Kendre Miller - 123091,87.28
407,Camryn Edwards - 158615,Patrick Taylor - 40448,85.82
408,Camryn Edwards - 158615,Damien Harris - 35134,84.37
409,Camryn Edwards - 158615,Javon Leake - 57288,83.31
410,Damien Martinez - 162437,Kendre Miller - 123091,86.6
411,Damien Martinez - 162437,Devontae Booker - 10770,82.53
412,Damien Martinez - 162437,Brian Hill - 11911,80.15
413,Damien Martinez - 162437,Trey Ragas - 42174,79.3
414,Damien Martinez - 162437,Marlon Mack - 11898,78.06
415,Taron Keith - 130368,Josh Ferguson - 10907,84.21
416,Taron Keith - 130368,Justin Crawford - 29310,83.5
417,Taron Keith - 130368,Bryce Love - 38396,80.71
418,Taron Keith - 130368,TJ Logan - 11935,79.08
419,Taron Keith - 130368,Tyler Badie - 83714,78.9
420,Messiah Burch - 171198,DeWayne McBride - 121495,88.42
421,Messiah Burch - 171198,Rasheen Ali - 121717,86.86
422,Messiah Burch - 171198,Jeff Wilson - 29413,85.23
