ID.x,Last_Season,predicted_label,min_label,mean_label,max_label,Seasons,Attempts,ForcedMissedTackleRate,ExplosiveRate,TDP,YardsAfterContact,YPRR,WAR,RushWAR,RecWAR,best_Attempts,best_ForcedMissedTackleRate,best_ExplosiveRate,best_TDP,best_YardsAfterContact,best_YPRR,best_WAR,best_RushWAR,best_RecWAR,worst_Attempts,worst_ForcedMissedTackleRate,worst_ExplosiveRate,worst_TDP,worst_YardsAfterContact,worst_YPRR,worst_WAR,worst_RushWAR,worst_RecWAR,Strength_Power 5,ht_in,wt,arm_in,wing_in,c_reps,c_10y,c_40y,c_vj_in,c_bj_in,c_3c,c_ss20,est_40y
Myles Bailey - 145722,2024,1.34,-1.87,1.71,5.89,4,0.30458465728551976,0.7294598275079437,0.48842487517022243,0.1852019972764412,0.7153881071266455,0.800818553888131,0.754394776494224,0.8378545006165228,0.8705302096177558,0.5306400363141172,0.8388561053109397,0.7775760326827054,0.560599182932365,0.7557875624148888,0.8042785616750113,0.8042704626334519,0.5653809971777987,0.658513640639699,0.1307308216068997,0.33227417158420336,0.16568315932818883,0.0,0.45528824330458467,0.7897132453345471,0.6065073716319268,0.5653809971777987,0.658513640639699,0,69.475,211.0,30.575,73.575,18.2,1.5639999999999998,4.582,34.5,120.4,7.066,4.3839999999999995,4.534000000000001
OJ Arnold - 158336,2024,1.34,-2.64,1.11,4.16,3,0.3645029505220154,0.5978211529732184,0.8347707671357241,0.5851112119836587,0.7448933272809805,0.5193269668030923,0.5791059768960322,0.5776818742293465,0.5080147965474723,0.3890149795733091,0.672719019518838,0.825692237857467,0.6227871084884249,0.6087153881071267,0.4724624487938097,0.7839349262836808,0.5653809971777987,0.658513640639699,0.398093508851566,0.3109396277802996,0.769859282796187,0.38266000907852926,0.807989105764866,0.6017296313154301,0.1362480935434672,0.5653809971777987,0.658513640639699,0,70.625,203.8,30.95,74.75,17.2,1.542,4.504,35.8,121.6,7.034000000000001,4.228,4.481999999999999
Samuel Brown V - 162899,2024,1.22,0.03,2.45,4.63,3,0.37766681797548796,0.1802088061733999,0.1171130276895143,0.6087153881071267,0.7753064003631411,0.6230104592996817,0.6308387744851833,0.6979038224414303,0.717016029593095,0.4493871992737177,0.30866999546073537,0.106218792555606,0.7621425329096686,0.9178393100317749,0.6358670914883933,0.6120996441281139,0.5653809971777987,0.658513640639699,0.3200181570585565,0.14298683613254654,0.22877893781207445,0.5524285065819338,0.542896050839764,0.4988620846609012,0.5566853075749872,0.5653809971777987,0.658513640639699,1,71.725,221.4,31.1,74.875,20.0,1.568,4.546,33.9,117.2,7.062,4.334,4.51
Elijah Gilliam - 73621,2024,1.12,0.48,1.74,3.75,2,0.7017703132092601,0.7989105764866091,0.25419881979119385,0.7784838856105311,0.27190195188379485,0.7853569804456572,0.8422903063787042,0.8366214549938348,0.7959309494451294,0.613708579210168,0.8007262823422605,0.33817521561507036,0.6541080344984113,0.39037675896504764,0.6404187528447883,0.7722419928825622,0.7977422389463782,0.7074317968015051,0.8007262823422605,0.7635043123014071,0.22650930549251022,0.8084430322287789,0.2115297321833863,0.8543468365953573,0.8673106253177427,0.7977422389463782,0.7074317968015051,0,69.9,206.0,30.1,72.601,17.0,1.588,4.612,34.5,118.8,7.093999999999999,4.340000000000001,4.51
Nate Frazier - 191146,2024,0.92,-3.99,0.66,3.25,1,0.8098048116205174,0.37857467090331365,0.49251021334543804,0.7880163413527008,0.40898774398547433,0.4943155979990905,0.2154696132596685,0.09741060419235512,0.30456226880394577,0.6645483431684067,0.28960508397639584,0.34906945074897866,0.584203359055833,0.29051293690422153,0.3522985889849795,0.14082358922216573,0.08748824082784572,0.2427093132643462,0.9010440308669996,0.5601452564684521,0.681343622333182,0.8679073990013618,0.6146164321379937,0.6772872098315885,0.47788510421962377,0.08748824082784572,0.2427093132643462,1,70.25,216.2,30.475,73.4,22.2,1.5939999999999999,4.540000000000001,33.3,116.4,7.226000000000001,4.292,4.558
Cameron Dickey - 184897,2024,0.81,-1.9,0.95,3.0,1,0.19019518837948252,0.7417158420335905,0.8098048116205174,0.1988197911938266,0.7771221062187925,0.5934515688949522,0.7533902561526871,0.5110974106041923,0.6270036991368682,0.17203812982296868,0.6000907852927826,0.6246028143440763,0.15524285065819338,0.598729005901044,0.4260355029585799,0.5531265887137773,0.5653809971777987,0.658513640639699,0.35088515660463004,0.8397639582387654,0.8774398547435316,0.403994552882433,0.8647299137539719,0.7478379608557123,0.8764616166751398,0.5653809971777987,0.658513640639699,1,71.825,221.8,31.375,75.575,20.2,1.532,4.536,33.9,120.0,7.202,4.298,4.512
Jalen Washington - 184783,2024,0.78,-1.87,1.24,4.34,1,0.013617793917385384,0.4457557875624149,0.9727644121652292,0.44893327280980483,0.44212437585111214,0.6043656207366985,0.5163234555499749,0.5110974106041923,0.6270036991368682,0.013617793917385384,0.330458465728552,0.9251021334543804,0.3100317748524739,0.3136631865637767,0.4351388256713701,0.32689374682257244,0.5653809971777987,0.658513640639699,0.029505220154335,0.6155242850658194,0.9791193826600091,0.6663640490240581,0.64593735814798,0.7551206190259445,0.7178444331469243,0.5653809971777987,0.658513640639699,0,70.925,214.2,30.925,75.1,23.8,1.526,4.494,34.8,120.2,7.118,4.284000000000001,4.494
Damien Taylor - 147252,2024,0.71,-4.47,-0.48,3.59,2,0.7535179300953245,0.5764866091693146,0.7008624602814344,0.2614616432137994,0.7889241942805265,0.08640291041382446,0.25715720743345055,0.5049321824907521,0.35141800246609123,0.7975487970948706,0.687244666364049,0.5301861098502043,0.35270086246028143,0.825692237857467,0.08466090122894857,0.21098118962887646,0.3104421448730009,0.2944496707431797,0.6350431230140717,0.3926463912846119,0.8107126645483431,0.27099409895596915,0.637312755333636,0.17614929449248976,0.4539908490086426,0.3104421448730009,0.2944496707431797,0,72.4,236.6,31.45,75.3,19.2,1.558,4.522,33.8,120.0,7.168000000000001,4.336,4.58
Jambres Dubar - 176209,2024,0.61,-3.63,-0.14,1.96,2,0.22378574670903315,0.7153881071266455,0.596005447117567,0.7294598275079437,0.7548797094870631,0.6007276034561164,0.5936715218483174,0.5110974106041923,0.6270036991368682,0.33136631865637767,0.6100771674988652,0.5533363595097595,0.8120744439400817,0.6087153881071267,0.6053709604005462,0.40772750381291306,0.5653809971777987,0.658513640639699,0.0,0.7834770767135724,0.6177939173853836,0.5406264185201998,0.8247843849296413,0.5584888484296768,0.7702084392475852,0.5653809971777987,0.658513640639699,0,71.25,212.6,30.875,75.375,20.2,1.538,4.596,35.8,122.8,7.066,4.255999999999999,4.494
Tate Carney - 157522,2024,0.5,-2.15,0.27,2.95,2,0.403994552882433,0.2047208352246936,0.09123921924648207,0.9255560599182933,0.6681797548797095,0.7412460209185994,0.7468608739326972,0.7614056720098644,0.7065351418002466,0.430776214253291,0.29051293690422153,0.11484339536995007,0.8293236495687698,0.7557875624148888,0.6845698680018206,0.6741230299949161,0.6782690498588899,0.6415804327375353,0.454380390376759,0.1684067181116659,0.13708579210167954,0.9269178393100318,0.48479346345891966,0.7373691397360036,0.7580071174377224,0.6782690498588899,0.6415804327375353,1,71.45,219.0,30.5,74.15,21.8,1.59,4.59,32.0,115.6,7.106,4.311999999999999,4.52
