ID.x,Seasons,Attempts,ForcedMissedTackleRate,ExplosiveRate,TDP,YardsAfterContact,YPRR,WAR,RushWAR,RecWAR,best_Attempts,best_ForcedMissedTackleRate,best_ExplosiveRate,best_TDP,best_YardsAfterContact,best_YPRR,best_WAR,best_RushWAR,best_RecWAR,worst_Attempts,worst_ForcedMissedTackleRate,worst_ExplosiveRate,worst_TDP,worst_YardsAfterContact,worst_YPRR,worst_WAR,worst_RushWAR,worst_RecWAR,Strength_Power 5,ht_in,wt,arm_in,wing_in,c_reps,c_10y,c_40y,c_vj_in,c_bj_in,c_3c,c_ss20,est_40y
Andrew Paul - 124736,2,0.112119836586473,0.30730821606899683,0.19064911484339536,0.8815251929187472,0.5896504766227871,0.10959527057753524,0.5253641386238072,0.5110974106041923,0.6270036991368682,0.1398093508851566,0.601906491148434,0.19655015887426236,0.946890603722197,0.5347253744893328,0.19299044151115158,0.6659888154550077,0.5653809971777987,0.658513640639699,0.106218792555606,0.07172038129822969,0.2573763050385838,0.6005447117566954,0.6300499319110304,0.018661811561219845,0.5277071682765633,0.5653809971777987,0.658513640639699,0,73.0,246.2,31.9,76.1,21.8,1.576,4.572,33.2,119.4,7.062,4.276,4.592
Andy Janovich - 10810,1,0.19019518837948252,0.9432591920108943,0.8098048116205174,0.8906037221970041,0.9668633681343622,0.8221919054115507,0.617277749874435,0.5110974106041923,0.6270036991368682,0.17203812982296868,0.8656377666817976,0.6246028143440763,0.7135724012709941,0.8983204720835225,0.6668183887118798,0.4178952719877987,0.5653809971777987,0.658513640639699,0.35088515660463004,0.9659555152065366,0.8774398547435316,0.9210167952791648,0.9768497503404449,0.8821119708693673,0.7925775292323335,0.5653809971777987,0.658513640639699,1,73.0,238.0,31.625,75.625,30.0,1.56,4.81,34.0,119.0,7.28,4.32,4.518
Aneyas Williams - 184108,1,0.11348161597821153,0.9972764412165229,0.6677258284157966,0.7689514298683613,0.9750340444847935,0.9199636198271942,0.8884982420894023,0.9260172626387176,0.8618988902589396,0.106218792555606,0.9895596913300045,0.48070812528370405,0.560599182932365,0.9251021334543804,0.8302230314064634,0.7468225724453482,0.8325493885230479,0.6961429915333961,0.21697684975034046,0.9986382206082615,0.7970948706309577,0.8601906491148434,0.982296867907399,0.9449248975876194,0.9481443823080834,0.8325493885230479,0.6961429915333961,1,71.325,217.0,30.65,75.3,18.6,1.544,4.499999999999999,37.6,125.4,7.044,4.204,4.5
Antario Brown - 145868,4,0.7989105764866091,0.5760326827054018,0.7017703132092601,0.6768043576940536,0.7140263277349069,0.648931332423829,0.8448016072325465,0.7681874229346486,0.8094944512946979,0.891057648660917,0.6264185201997277,0.6908760780753518,0.6187017703132093,0.7330912392192465,0.9749658625398271,0.8708693441789527,0.5653809971777987,0.658513640639699,0.7299137539718565,0.5814798002723559,0.6713572401270994,0.6128007262823423,0.7562414888788016,0.023668639053254437,0.7386883579054397,0.5653809971777987,0.658513640639699,0,70.7,216.0,31.125999999999998,74.576,14.4,1.56,4.602,33.6,116.8,7.122,4.287999999999999,4.552
Anthony Carrie - 183214,1,0.0,0.0,0.41761234679981846,0.4761688606445756,0.011348161597821153,0.22783083219645292,0.48669010547463587,0.5110974106041923,0.6270036991368682,0.0,0.0,0.29187471629596007,0.3318202451202905,0.011348161597821153,0.16522530723714154,0.30604982206405695,0.5653809971777987,0.658513640639699,0.0,0.0,0.6177939173853836,0.6886064457557876,0.022696323195642305,0.42330450614474285,0.688357905439756,0.5653809971777987,0.658513640639699,1,70.325,214.8,30.825,74.025,20.6,1.61,4.622,30.5,115.8,7.05,4.324,4.555999999999999
Anthony Hankerson - 157691,3,0.7830231502496595,0.7775760326827054,0.2392192464820699,0.4938719927371766,0.34997730367680435,0.27103228740336516,0.2968357609241587,0.1905055487053021,0.3908754623921085,0.9223785746709033,0.8356786200635498,0.2029051293690422,0.6409441670449387,0.4257830231502497,0.23076923076923078,0.5821047280122014,0.5503292568203199,0.5014111006585137,0.6413980935088516,0.6740807989105765,0.3345438039037676,0.23967317294598275,0.2401270994098956,0.42330450614474285,0.13268937468225725,0.5503292568203199,0.5014111006585137,1,70.727,217.4,30.326,73.627,21.0,1.56,4.588,31.1,116.4,7.0859999999999985,4.242,4.548
Anthony McFarland - 57289,2,0.7716749886518384,0.7339990921470722,0.9677712210621879,0.6559237403540626,0.746255106672719,0.5698044565711687,0.36815670517327975,0.23921085080147966,0.3643649815043157,0.6563776668179755,0.6926917839310032,0.9909214707217431,0.7031320926009986,0.8057194734453018,0.4110150204824761,0.6390442297915607,0.458137347130762,0.4553151458137347,0.8629142078983205,0.7557875624148888,0.8093508851566046,0.5342714480254199,0.5896504766227871,0.7269003186162949,0.17793594306049823,0.458137347130762,0.4553151458137347,1,68.125,208.0,30.375,73.375,22.8,1.59,4.44,29.5,116.0,7.209999999999999,4.486000000000001,4.47
Anthony Tyus - 145037,3,0.7253744893327281,0.9423513390830686,0.6527462551066727,0.230140717203813,0.7117566954153427,0.2723965438835834,0.796082370668006,0.6085080147965475,0.7583230579531443,0.9328188833408988,0.9532455742169769,0.5755787562414889,0.30549251021334545,0.5542442124375851,0.2872098315885298,0.8784951703101169,0.5653809971777987,0.658513640639699,0.46799818429414436,0.9187471629596006,0.6177939173853836,0.34407625964593735,0.8134362233318202,0.31770596267637685,0.45856634468734114,0.5653809971777987,0.658513640639699,0,69.625,212.0,30.4,73.275,19.0,1.5639999999999998,4.582,33.5,119.6,7.078,4.302,4.555999999999999
Anthony Watkins - 99165,3,0.775760326827054,0.5351793009532456,0.5637766681797549,0.4389468906037222,0.8783477076713573,0.7107776261937244,0.687594173782019,0.45437731196054254,0.591861898890259,0.8583749432591921,0.7013163867453472,0.8788016341352701,0.4171584203359056,0.9214707217430776,0.8866636322257624,0.6680223690899848,0.6114769520225776,0.5174035747883349,0.7553336359509759,0.3931003177485247,0.36359509759418973,0.34679981842941443,0.7526100771674988,0.42330450614474285,0.630401626842908,0.6114769520225776,0.5174035747883349,0,70.2,204.6,30.575,74.275,18.2,1.54,4.496,35.7,123.0,6.984,4.2780000000000005,4.486
Antwain Littleton - 144892,3,0.5224693599636859,0.5733091239219247,0.08079891057648661,0.4643667725828416,0.610531093962778,0.3083219645293315,0.1125062782521346,0.25462392108508014,0.21023427866831074,0.4888788016341353,0.6318656377666818,0.2029051293690422,0.796187017703132,0.813890149795733,0.4260355029585799,0.44585663446873414,0.37064910630291625,0.3847601128880527,0.6504766227871085,0.5973672265093055,0.07035860190649115,0.22106218792555607,0.45528824330458467,0.23668639053254437,0.10879511947127606,0.37064910630291625,0.3847601128880527,0,71.775,234.8,31.15,75.05,20.6,1.544,4.532,34.8,120.8,7.086,4.242,4.574
Antwan Raymond - 190489,1,0.6572855197458012,0.6581933726736269,0.6913300045392646,0.9359963685882887,0.6264185201997277,0.3619827194179172,0.2169763937719739,0.3692971639950678,0.3150431565967941,0.5215615070358602,0.5147526100771675,0.5038583749432592,0.8120744439400817,0.45120290512936906,0.26445152480655437,0.1418403660396543,0.23142050799623706,0.24835371589840075,0.8166137085792101,0.7834770767135724,0.8134362233318202,0.9541534271448026,0.769859282796187,0.5716886663632226,0.47890188103711234,0.23142050799623706,0.24835371589840075,1,70.525,214.2,30.851,73.676,21.8,1.576,4.558,33.3,116.2,7.223999999999999,4.34,4.505999999999999
Anwar Lewis - 163961,2,0.39355424421243757,0.5034044484793464,0.34816159782115297,0.5646845211075806,0.5896504766227871,0.7794452023647113,0.6499246609743847,0.20838471023427868,0.17016029593094945,0.4938719927371766,0.8533817521561508,0.4148887880163413,0.542896050839764,0.6441216522923287,0.7182521620391443,0.6659888154550077,0.5653809971777987,0.658513640639699,0.23831139355424422,0.04312301407172038,0.30730821606899683,0.5578756241488879,0.4988651838402179,0.7783340919435594,0.5277071682765633,0.5653809971777987,0.658513640639699,0,70.45,217.2,30.925,74.5,20.8,1.542,4.538,34.2,121.6,7.197999999999999,4.298,4.5840000000000005
Arnold Barnes - 169972,1,0.5819337267362688,0.5061280072628235,0.46209714026327736,0.8679073990013618,0.4026327734906945,0.1855388813096862,0.7167252636865896,0.7207151664611591,0.6183723797780518,0.4607353608715388,0.37448933272809803,0.32410349523377213,0.6758965047662279,0.2850658193372674,0.1406463359126081,0.5200813421453991,0.5061147695202258,0.42521166509877706,0.7730367680435769,0.6690876078075352,0.6559237403540626,0.908760780753518,0.6096232410349524,0.3732362312243969,0.8535841382816471,0.5061147695202258,0.42521166509877706,0,72.675,242.8,31.95,76.625,20.2,1.6480000000000001,4.752000000000001,31.5,115.4,7.202,4.368,4.572
Ashaad Clayton - 131674,3,0.2038129822968679,0.7970948706309577,0.9133000453926464,0.18338629142078983,0.9024058102587381,0.6971350613915416,0.6815670517327976,0.7071516646115906,0.5524044389642416,0.2705401724920563,0.8561053109396278,0.9718565592374036,0.2823422605537903,0.8951429868361326,0.7737824305871643,0.5785460091509913,0.5653809971777987,0.658513640639699,0.21697684975034046,0.5651384475714935,0.6559237403540626,0.0,0.7784838856105311,0.5525716886663632,0.762582613116421,0.5653809971777987,0.658513640639699,0,70.2,212.6,31.4,75.075,18.2,1.5619999999999998,4.574,34.0,120.6,7.016000000000001,4.242,4.504
Ashton Jeanty - 157196,3,0.9886518384021789,0.9845665002269632,0.8011802088061734,0.8147980027235587,0.9804811620517476,0.9154160982264665,0.9829231541938724,0.8754623921085081,0.9753390875462392,0.9995460735360872,0.9791193826600091,0.6613708579210168,0.7916477530640036,0.9836586472991375,0.9717796995903505,0.9933909506863243,0.9840075258701787,0.9896519285042333,0.9369042215161144,0.9591466182478439,0.8261461643213799,0.7485247389922832,0.9473445301861099,0.4988620846609012,0.9389933909506863,0.9840075258701787,0.9896519285042333,0,68.5,211.0,29.25,72.75,19.6,1.536,4.4879999999999995,35.3,119.8,7.090000000000001,4.32,4.42
Audric Estime - 147476,2,0.929187471629596,0.8374943259192011,0.9014979573309124,0.9296413980935089,0.9332728098048116,0.758981355161437,0.9568056253139126,0.7848335388409371,0.9420468557336621,0.8856105310939628,0.787562414888788,0.8002723558783477,0.8688152519291875,0.8915115751248298,0.646335912608102,0.9313675648195221,0.7262464722483537,0.90310442144873,0.9369042215161144,0.8565592374035407,0.9219246482069905,0.9196550158874263,0.9187471629596006,0.8051888939462903,0.9578037620742247,0.7262464722483537,0.90310442144873,1,71.375,221.0,32.375,76.5,23.0,1.58,4.71,38.0,125.0,7.048,4.2299999999999995,4.5
Avery Morrow - 128240,3,0.8547435315478893,0.5615070358601907,0.3463458919655016,0.3295506128007263,0.5896504766227871,0.16734879490677582,0.07935710698141638,0.14303329223181258,0.1535141800246609,0.8179754879709487,0.855651384475715,0.53109396277803,0.4439400817067635,0.7099409895596913,0.24396904870277653,0.07473309608540925,0.257761053621825,0.1702728127939793,0.7299137539718565,0.08533817521561507,0.09214707217430776,0.3976395823876532,0.1920108942351339,0.1570323167956304,0.23233350279613624,0.257761053621825,0.1702728127939793,0,73.0,230.8,31.625,76.15,20.2,1.534,4.516,34.4,119.8,7.117999999999999,4.274,4.576
Ayden Harris - 184075,1,0.033590558329550615,0.03676804357694054,0.3050385837494326,0.39536995006808895,0.6264185201997277,0.008640291041382447,0.5062782521346058,0.5110974106041923,0.6270036991368682,0.03313663186563777,0.033590558329550615,0.2165229232864276,0.27190195188379485,0.45120290512936906,0.007737824305871643,0.31926792069140825,0.5653809971777987,0.658513640639699,0.08352246935996369,0.076713572401271,0.4979573309123922,0.6191556967771221,0.769859282796187,0.023668639053254437,0.7056431113370615,0.5653809971777987,0.658513640639699,0,72.15,235.2,31.3,75.1,21.2,1.574,4.561999999999999,33.1,118.0,7.112,4.36,4.59
BJ Catalon - 15275,1,0.6413980935088516,0.8683613254652747,0.8574670903313664,0.9791193826600091,0.05220154334997731,0.5934515688949522,0.026619789050728277,0.027743526510480888,0.032675709001233046,0.5070358601906492,0.7494325919201089,0.7017703132092601,0.9387199273717658,0.04766227871084884,0.4260355029585799,0.019318759532282664,0.02539981185324553,0.030103480714957668,0.8088969586926917,0.9228325011348162,0.9051293690422152,0.9827507943713119,0.10667271901951884,0.7478379608557123,0.10574478901881038,0.02539981185324553,0.030103480714957668,1,67.375,186.0,30.0,72.875,15.6,1.68,4.57,36.0,114.0,6.9,4.15,4.406
BJ Harris - 146874,1,0.5946436677258284,0.5905583295506128,0.4416704493871993,0.34589196550158874,0.548797094870631,0.8863119599818099,0.8287292817679558,0.840937114673243,0.7651048088779285,0.47299137539718566,0.4416704493871993,0.31139355424421244,0.2410349523377213,0.39037675896504764,0.7737824305871643,0.6614133197763091,0.6876763875823142,0.5663217309501412,0.7825692237857467,0.7280980481162052,0.6409441670449387,0.5787562414888788,0.7190195188379482,0.9208010923987255,0.9156075241484494,0.6876763875823142,0.5663217309501412,0,70.2,219.4,30.9,74.15,20.0,1.6260000000000001,4.608,35.4,118.6,7.220000000000001,4.2780000000000005,4.524
Benjamin Hall - 174038,1,0.04675442578302315,0.5170222423967318,0.017703132092601,0.0,0.004539264639128461,0.28240109140518416,0.4389753892516323,0.5110974106041923,0.6270036991368682,0.04539264639128461,0.3840217884702678,0.017703132092601,0.0,0.0040853381752156154,0.20573509330905781,0.27402135231316727,0.5653809971777987,0.658513640639699,0.106218792555606,0.6772582841579664,0.042669087607807535,0.0,0.01270994098955969,0.4906690942193901,0.6563294356888663,0.5653809971777987,0.658513640639699,1,70.35,214.8,30.725,73.126,20.4,1.626,4.688,33.1,116.8,7.178,4.386,4.538000000000001
Benny LeMay - 57184,4,0.8665456196096233,0.8692691783931004,0.6985928279618702,0.24784384929641398,0.8883340898774399,0.7112323783537972,0.880462079357107,0.842786683107275,0.8988902589395807,0.9246482069904676,0.9546073536087154,0.6908760780753518,0.42033590558329553,0.9310031774852474,0.8042785616750113,0.8881545500762582,0.5653809971777987,0.658513640639699,0.21697684975034046,0.7212891511575125,0.5905583295506128,0.0,0.8284157966409441,0.5525716886663632,0.4443314692425013,0.5653809971777987,0.658513640639699,0,68.125,221.0,29.875,72.5,24.0,1.64,4.75,28.5,112.0,7.134,4.366,4.55
